,timespan,people
0,15:22:29,10
1,15:22:30,8
2,15:22:31,9
3,15:22:32,12
4,15:22:33,10
5,15:22:34,12
6,15:22:35,13
7,15:22:36,10
8,15:22:37,12
9,15:22:37,12
10,15:22:38,11
11,15:22:39,11
12,15:22:40,13
13,15:22:41,13
14,15:22:42,12
15,15:22:43,14
16,15:22:44,13
17,15:22:45,12
18,15:22:45,12
19,15:22:46,13
20,15:22:47,11
21,15:22:48,15
22,15:22:49,13
23,15:22:50,13
24,15:22:51,13
25,15:22:52,15
26,15:22:53,14
27,15:22:53,16
28,15:22:54,13
29,15:22:55,15
30,15:22:56,12
31,15:22:57,14
32,15:22:58,13
33,15:22:59,12
34,15:23:00,9
35,15:23:01,12
36,15:23:01,10
37,15:23:02,9
38,15:23:03,9
39,15:23:04,8
40,15:23:05,9
41,15:23:06,10
42,15:23:07,12
43,15:23:08,9
44,15:23:09,11
45,15:23:09,10
46,15:23:10,10
47,15:23:11,9
48,15:23:12,10
49,15:23:13,9
50,15:23:14,12
51,15:23:15,12
52,15:23:16,11
53,15:23:16,10
54,15:23:17,12
55,15:23:18,12
56,15:23:19,11
57,15:23:20,13
58,15:23:21,13
59,15:23:22,13
60,15:23:23,12
61,15:23:24,10
62,15:23:25,11
63,15:23:25,10
64,15:23:26,10
65,15:23:27,10
66,15:23:28,10
67,15:23:29,10
68,15:23:30,11
69,15:23:31,11
70,15:23:32,12
71,15:23:33,10
72,15:23:33,9
73,15:23:34,9
74,15:23:35,10
75,15:23:36,10
76,15:23:37,9
77,15:23:38,12
78,15:23:39,11
79,15:23:40,12
80,15:23:41,12
81,15:23:41,12
82,15:23:42,11
83,15:23:43,12
84,15:23:44,12
85,15:23:45,13
86,15:23:46,12
87,15:23:47,12
88,15:23:48,12
89,15:23:49,12
90,15:23:49,13
91,15:23:50,13
92,15:23:51,14
93,15:23:52,16
94,15:23:53,16
95,15:23:54,14
96,15:23:55,14
97,15:23:56,15
98,15:23:57,14
99,15:23:58,13
100,15:23:58,13
101,15:23:59,14
102,15:24:00,15
103,15:24:01,14
104,15:24:02,14
105,15:24:03,14
106,15:24:04,14
107,15:24:05,18
108,15:24:06,17
109,15:24:07,14
110,15:24:08,14
111,15:24:08,16
112,15:24:09,16
113,15:24:10,14
114,15:24:11,14
115,15:24:12,12
116,15:24:13,13
117,15:24:14,14
118,15:24:15,14
119,15:24:16,16
120,15:24:17,12
121,15:24:17,12
122,15:24:18,11
123,15:24:19,13
124,15:24:20,13
125,15:24:21,13
126,15:24:22,15
127,15:24:23,13
128,15:24:24,13
129,15:24:25,12
130,15:24:26,12
131,15:24:26,13
132,15:24:27,13
133,15:24:28,13
134,15:24:29,13
135,15:24:30,13
136,15:24:31,16
137,15:24:32,13
138,15:24:33,14
139,15:24:34,13
140,15:24:35,13
141,15:24:35,15
142,15:24:36,12
143,15:24:37,13
144,15:24:38,12
145,15:24:39,11
146,15:24:40,11
147,15:24:41,11
148,15:24:42,12
149,15:24:43,11
150,15:24:44,13
151,15:24:44,12
152,15:24:45,11
153,15:24:46,11
154,15:24:47,10
155,15:24:48,11
156,15:24:49,11
157,15:24:50,13
158,15:24:51,12
159,15:24:52,12
160,15:24:52,11
161,15:24:53,13
162,15:24:54,13
163,15:24:55,12
164,15:24:56,13
165,15:24:57,12
166,15:24:58,14
167,15:24:59,13
168,15:25:00,13
169,15:25:01,16
170,15:25:02,16
171,15:25:02,16
172,15:25:03,20
173,15:25:04,18
174,15:25:05,18
175,15:25:06,15
176,15:25:07,13
177,15:25:08,14
178,15:25:09,16
179,15:25:10,16
180,15:25:11,16
181,15:25:12,15
182,15:25:13,16
183,15:25:13,13
184,15:25:14,14
185,15:25:15,13
186,15:25:16,11
187,15:25:17,13
188,15:25:18,11
189,15:25:19,10
190,15:25:20,13
191,15:25:21,13
192,15:25:22,12
193,15:25:23,14
194,15:25:23,12
195,15:25:24,14
196,15:25:25,13
197,15:25:26,14
198,15:25:27,13
199,15:25:28,12
200,15:25:29,12
201,15:25:30,13
202,15:25:31,14
203,15:25:32,15
204,15:25:33,12
205,15:25:33,13
206,15:25:34,12
207,15:25:35,14
208,15:25:36,13
209,15:25:37,13
210,15:25:38,11
211,15:25:39,12
212,15:25:40,14
213,15:25:41,14
214,15:25:42,14
215,15:25:42,14
216,15:25:43,16
217,15:25:44,15
218,15:25:45,14
219,15:25:46,12
220,15:25:47,12
221,15:25:48,15
222,15:25:49,13
223,15:25:50,13
224,15:25:51,13
225,15:25:52,13
226,15:25:52,14
227,15:25:53,15
228,15:25:54,13
229,15:25:55,14
230,15:25:56,13
231,15:25:57,15
232,15:25:58,15
233,15:25:59,16
234,15:26:00,14
235,15:26:01,14
236,15:26:02,13
237,15:26:02,14
238,15:26:03,14
239,15:26:04,16
240,15:26:05,15
241,15:26:06,14
242,15:26:07,15
243,15:26:08,16
244,15:26:09,16
245,15:26:10,20
246,15:26:11,17
247,15:26:12,15
248,15:26:13,16
249,15:26:13,15
250,15:26:14,14
251,15:26:15,17
252,15:26:16,14
253,15:26:17,15
254,15:26:18,14
255,15:26:19,15
256,15:26:20,14
257,15:26:21,14
258,15:26:22,14
259,15:26:23,14
260,15:26:23,15
261,15:26:24,14
262,15:26:25,15
263,15:26:26,15
264,15:26:27,17
265,15:26:28,18
266,15:26:29,16
267,15:26:30,16
268,15:26:31,18
269,15:26:32,20
270,15:26:33,17
271,15:26:34,16
272,15:26:34,19
